idade,genero,ds_ensino_medio,ds_ingresso,cd_curso,valor_mensalidade_liquido,qtd_mensalidade_paga_atraso,qtd_semestres_curso,qtd_reprovacoes,coeficiente_rendimento,situacao,evasao,media_acessos_por_dia,semestres_existencia_curso,categoria_motivo_cancelamento,qtd_professores,qtd_professores_mestrado,qtd_professores_doutorado,qtd_professores_especialista,qtd_professores_graduado,qtd_professores_M,qtd_professores_F,idade_media_professores,cluster
30,M,Escola Pública,Segunda Graduação,ADM_EAD,98.99898,0,8,0,7.76,CONCLUIDO,0,0.5564738292011019,8,NA,5.0,2,2,1,0,3,2,38.4,2
30,M,Escola Pública,Segunda Graduação,ADM_EAD,98.99898,0,8,0,7.76,CONCLUIDO,0,0.5564738292011019,8,NA,2.0,1,1,0,0,0,2,41.0,2
36,M,Escola Pública,Vestibular,CIC_EAD,362.34733,3,8,0,7.66,CONCLUIDO,0,1.160220994475138,8,NA,9.0,2,2,5,0,1,8,44.55555555555556,2
36,M,Escola Pública,Vestibular,CIC_EAD,362.34733,4,8,0,7.66,CONCLUIDO,0,1.160220994475138,8,NA,1.0,0,1,0,0,0,1,41.0,2
40,M,Escola Pública,Segunda Graduação,ADM_EAD,285.31425,7,8,4,5.61,CONCLUIDO,0,0.4775280898876404,8,NA,5.0,2,2,1,0,3,2,38.4,2
40,M,Escola Pública,Segunda Graduação,ADM_EAD,285.31425,11,8,4,5.61,CONCLUIDO,0,0.4775280898876404,8,NA,19.0,4,2,12,1,4,15,42.8421052631579,3
40,F,Não informado,Vestibular,PED_EAD,151.175,0,8,0,8.79,CONCLUIDO,0,0.3,13,NA,3.0,1,0,1,1,0,3,43.66666666666666,2
40,F,Não informado,Vestibular,PED_EAD,151.175,4,8,0,8.79,TRANCADA,0,0.3,13,NA,4.0,2,0,1,1,0,4,43.75,2
45,F,Não informado,Vestibular,EDU.ESP_EAD,362.34733,4,8,2,5.99,CONCLUIDO,0,0.7551622418879056,10,NA,13.0,2,2,8,1,2,11,48.0,0
45,F,Não informado,Vestibular,EDU.ESP_EAD,362.34733,9,8,2,5.99,CONCLUIDO,0,0.7551622418879056,10,NA,1.0,1,0,0,0,0,1,44.0,2
35,F,Escola Pública,Vestibular,PED_EAD,196.534,1,8,0,8.17,CONCLUIDO,0,0.78125,13,NA,3.0,1,0,1,1,0,3,43.66666666666666,2
35,F,Escola Pública,Vestibular,PED_EAD,196.534,10,8,0,8.17,CONCLUIDO,0,0.78125,13,NA,4.0,2,0,1,1,0,4,43.75,2
40,F,Não informado,Vestibular,PED_EAD,151.175,0,8,10,5.4,CONCLUIDO,0,1.1160220994475138,13,NA,8.0,4,1,3,0,2,6,44.625,2
40,F,Não informado,Vestibular,PED_EAD,151.175,2,8,10,5.4,CONCLUIDO,0,1.1160220994475138,13,NA,4.0,2,0,2,0,0,4,43.25,2
40,F,Não informado,Vestibular,EDU.ESP_EAD,307.98614,0,8,3,6.09,CONCLUIDO,0,1.6954022988505748,10,NA,3.0,3,0,0,0,0,3,42.0,2
